@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE class {links,rechts}

@DATA
0.110011,0.003960,2.192147,0.237300,0.194473,1.062480,0.002959,0.198489,0.002494,0.002904,0.027882,0.006297,0.008606,0.001618,0.047754,0.001361,0.001264,0.010754,0.006577,0.001240,0.014303,0.030473,0.007558,1.017923,0.029434,0.058952,0.354463,0.002034,0.076731,0.002594,0.002270,0.028901,0.005425,0.009187,0.001367,0.054245,0.001315,0.001017,0.012535,0.006403,0.001124,0.015350,links
0.112784,0.003955,2.309460,0.238113,0.193564,1.102509,0.003040,0.208498,0.002300,0.002559,0.027798,0.006137,0.009092,0.001636,0.049392,0.001366,0.001202,0.009255,0.006224,0.001102,0.014451,0.031563,0.007599,0.935105,0.028717,0.056337,0.364945,0.002079,0.070997,0.002284,0.002101,0.028467,0.005219,0.009206,0.001480,0.054957,0.001177,0.000857,0.010269,0.006080,0.000885,0.015356,links
0.113348,0.004578,2.188077,0.243713,0.196419,1.056234,0.002881,0.206125,0.002777,0.002780,0.028246,0.006154,0.008832,0.001752,0.049768,0.001290,0.001066,0.009738,0.006692,0.001067,0.014633,0.028887,0.007801,1.011309,0.030599,0.058693,0.344541,0.001974,0.062732,0.003153,0.002099,0.028473,0.005449,0.009095,0.001399,0.056949,0.000904,0.000856,0.010970,0.006562,0.000910,0.015771,links
0.112244,0.003653,2.229801,0.240255,0.196904,1.093443,0.002870,0.206515,0.002672,0.002706,0.027979,0.006626,0.009229,0.001745,0.051001,0.001588,0.001186,0.009781,0.006850,0.001294,0.014790,0.030473,0.006297,1.019019,0.030773,0.059015,0.340282,0.001920,0.076489,0.002521,0.001735,0.028832,0.005608,0.009326,0.001508,0.057710,0.001220,0.000929,0.010794,0.006876,0.001015,0.016022,links
0.112024,0.004118,2.242033,0.239463,0.198081,1.106630,0.002893,0.205064,0.002413,0.002872,0.027314,0.006797,0.009153,0.001900,0.047836,0.001398,0.001473,0.010004,0.006417,0.001316,0.013992,0.031643,0.007888,1.027066,0.026675,0.055850,0.390432,0.001852,0.074354,0.002299,0.002130,0.026950,0.005954,0.009097,0.001513,0.051649,0.001096,0.001109,0.010928,0.006134,0.001148,0.014350,links
0.114462,0.004016,2.273508,0.237558,0.195794,1.101438,0.002859,0.203961,0.002167,0.002906,0.031464,0.006238,0.009168,0.002183,0.040499,0.001516,0.001581,0.010846,0.004857,0.001512,0.013165,0.030469,0.007570,0.992585,0.025102,0.055219,0.323592,0.001921,0.063152,0.002183,0.002340,0.033048,0.005124,0.009292,0.002501,0.044866,0.001183,0.002223,0.012508,0.004551,0.001381,0.013786,links
0.115470,0.003383,2.248944,0.235984,0.193875,1.128240,0.002859,0.208820,0.002163,0.003432,0.038432,0.005264,0.009426,0.002102,0.033072,0.001628,0.001670,0.010203,0.003240,0.001603,0.012779,0.030708,0.006751,1.050047,0.027514,0.054585,0.355188,0.001767,0.064917,0.001996,0.002421,0.042413,0.004218,0.009904,0.002095,0.036490,0.001370,0.001751,0.011773,0.003074,0.001440,0.013748,links
0.116500,0.003957,2.104260,0.236299,0.188366,1.100565,0.002878,0.211216,0.002590,0.003243,0.033338,0.004782,0.008688,0.001918,0.030281,0.001441,0.001493,0.009294,0.003027,0.001661,0.011503,0.028798,0.006751,1.066091,0.027220,0.055282,0.342060,0.001835,0.063303,0.003544,0.002512,0.039760,0.004249,0.010012,0.001860,0.037703,0.001304,0.001440,0.012522,0.003126,0.001651,0.013540,links
0.117171,0.003764,2.205734,0.233236,0.189309,1.124181,0.002849,0.210563,0.002403,0.003496,0.034223,0.005327,0.009274,0.001961,0.030022,0.001757,0.001552,0.009483,0.003131,0.001561,0.011498,0.027344,0.007649,0.990179,0.024151,0.053980,0.358954,0.001858,0.063905,0.002909,0.002763,0.038895,0.004471,0.010162,0.001826,0.034478,0.001531,0.001347,0.011265,0.002764,0.001139,0.012751,links
0.116252,0.004507,2.158595,0.236639,0.193035,1.083547,0.003064,0.209129,0.002580,0.003419,0.031073,0.005591,0.008774,0.002127,0.034907,0.001428,0.001409,0.010099,0.004090,0.001627,0.011830,0.029679,0.008210,1.043201,0.025667,0.057565,0.336818,0.001942,0.061040,0.003319,0.002884,0.033572,0.004984,0.009578,0.001923,0.040689,0.001294,0.001196,0.012151,0.003729,0.001622,0.012864,links
